id,x,y
336,43.093639,131.915109,
337,43.0968,131.917176,
338,43.096703,131.920812,
339,43.097591,131.921791,
340,43.089979,131.924581,
341,43.093207,131.922935,
342,43.090234,131.904475,
343,43.089609,131.90684,
344,43.089243,131.909182,
345,43.090701,131.907762,
346,43.090032,131.909385,
347,43.092526,131.911585,
348,43.084778,131.892917,
349,43.083924,131.891351,
350,43.088343,131.903904,
351,43.085463,131.902327,
352,43.086374,131.898828,
353,43.087056,131.897352,
354,43.149128,131.95454,
355,43.136078,131.942356,
356,43.096391,131.90801,
357,43.100607,131.901407,
358,43.102687,131.902898,
359,43.098674,131.902821,
360,43.100309,131.912903,
361,43.101627,131.914875,
362,43.100483,131.92656,
363,43.103101,131.932076,
364,43.102561,131.931178,
365,43.102384,131.928199,
366,43.101758,131.925492,
367,43.101415,131.919954,
368,43.100542,131.923032,
369,43.103495,131.895342,
370,43.103255,131.892389,
371,43.098279,131.891965,
372,43.096569,131.893999,
373,43.091817,131.915167,
374,43.091021,131.911941,
375,43.088878,131.899427,
376,43.088586,131.90102,
377,43.093492,131.894294,
378,43.089014,131.88007,
379,43.087404,131.885217,
380,43.094057,131.890539,
381,43.102461,131.894263,
382,43.10133,131.892668,
383,43.090276,131.8866,
384,43.092804,131.885634,
385,43.092071,131.89346,
386,43.092399,131.906667,
387,43.134564,131.918593,
388,43.136765,131.918217,
389,43.136204,131.925473,
390,43.136011,131.921342,
391,43.137538,131.908577,
392,43.139278,131.909634,
393,43.140721,131.902154,
394,43.1531,131.928032,
395,43.156094,131.924828,
396,43.155988,131.929055,
397,43.158286,131.931185,
398,43.160069,131.930065,
399,43.157425,131.92766,
400,43.162556,131.932015,
401,43.157524,131.934325,
402,43.152784,131.916352,
403,43.154505,131.921267,
404,43.14717,131.933211,
405,43.141368,131.927499,
406,43.144584,131.926071,
407,43.143209,131.917899,
408,43.141993,131.922428,
409,43.137571,131.916837,
410,43.137804,131.924497,
411,43.137299,131.92944,
412,43.138221,131.949932,
413,43.136311,131.951953,
414,43.134664,131.948708,
415,43.133498,131.956867,
416,43.135243,131.962528,
417,43.135394,131.957157,
418,43.138405,131.980796,
419,43.13985,131.979038,
420,43.140186,131.980607,
421,43.1356,131.969082,
422,43.136103,131.975998,
423,43.135588,131.978701,
424,43.126446,131.984236,
425,43.129468,131.991563,
426,43.128339,131.99267,
427,43.11999,132.002464,
428,43.122716,132.027526,
429,43.122531,132.012592,
430,43.120831,132.020903,
431,43.116633,132.026019,
432,43.129528,131.99398,
433,43.106178,131.954596,
434,43.11062,131.95616,
435,43.104949,131.951246,
436,43.108419,131.953975,
437,43.108037,131.939964,
438,43.114546,131.948748,
439,43.120139,131.954368,
440,43.119501,131.949018,
441,43.120616,131.94541,
442,43.117133,131.947493,
443,43.106949,131.942691,
444,43.163958,131.907937,
445,43.161383,131.910723,
446,43.157298,131.906736,
447,43.14915,131.902982,
448,43.158231,131.910181,
449,43.151961,131.907016,
450,43.139115,131.92013,
451,43.222261,131.963189,
452,43.21974,131.959273,
453,43.216752,131.95483,
454,43.215312,131.955845,
455,43.214578,131.952641,
456,43.217684,131.956395,
457,43.216514,131.95119,
458,43.212754,131.950582,
